Currency,Date,Close,Open,High,Low
XRP,01-01-20,0.191558126,0.193146827,0.193645299,0.189421583
XRP,02-01-20,0.192388231,0.191637444,0.194610049,0.191637444
XRP,03-01-20,0.187671705,0.192380111,0.192599798,0.18521997
XRP,04-01-20,0.192195899,0.187671705,0.193745687,0.184221108
XRP,05-01-20,0.192304209,0.192193123,0.19343101,0.191012713
XRP,06-01-20,0.194495076,0.192301322,0.197142182,0.192063553
XRP,07-01-20,0.218590721,0.194409223,0.223776827,0.194112737
XRP,08-01-20,0.212809778,0.218614377,0.225550768,0.207463401
XRP,09-01-20,0.207603864,0.21282075,0.218461141,0.203167489
XRP,10-01-20,0.203129059,0.207384254,0.208571315,0.20124003
XRP,11-01-20,0.209301587,0.203097506,0.211298085,0.200138716
XRP,12-01-20,0.21378641,0.212741554,0.219696676,0.208511881
XRP,13-01-20,0.21374422,0.213768551,0.216822501,0.20953721
XRP,14-01-20,0.211431249,0.213760934,0.215479795,0.209691067
XRP,15-01-20,0.234580269,0.211376496,0.245184751,0.211353047
XRP,16-01-20,0.236574593,0.234552776,0.243016049,0.225907779
XRP,17-01-20,0.228665943,0.233572873,0.234778686,0.222512217
XRP,18-01-20,0.240660808,0.228665618,0.244034694,0.226441773
XRP,19-01-20,0.246585893,0.240853944,0.254054626,0.231733521
XRP,20-01-20,0.233704306,0.246585812,0.251297007,0.226953691
XRP,21-01-20,0.233648671,0.233726808,0.236217815,0.224098229
XRP,22-01-20,0.237796296,0.233662068,0.241442321,0.229872167
XRP,23-01-20,0.235352441,0.237815369,0.239374004,0.232222886
XRP,24-01-20,0.22599015,0.235351964,0.236776649,0.220717952
XRP,25-01-20,0.221922965,0.225254958,0.225785973,0.213512008
XRP,26-01-20,0.220057247,0.221896256,0.222635894,0.216329311
XRP,27-01-20,0.227436049,0.220088316,0.227706592,0.217812474
XRP,28-01-20,0.230406614,0.227436074,0.233476556,0.225792948
XRP,29-01-20,0.236901353,0.230411633,0.240967255,0.230255367
XRP,30-01-20,0.23683318,0.236901669,0.241717098,0.23394461
XRP,31-01-20,0.24571577,0.23501615,0.245938137,0.230396678
XRP,01-02-20,0.239005369,0.245752227,0.246313647,0.233370672
XRP,02-02-20,0.241344712,0.238982499,0.242704362,0.236703116
XRP,03-02-20,0.252279635,0.241195297,0.261243745,0.235520731
XRP,04-02-20,0.25160931,0.252273541,0.259502176,0.246754631
XRP,05-02-20,0.264268855,0.254377462,0.27016313,0.247344465
XRP,06-02-20,0.278656371,0.264220037,0.281350814,0.263608637
XRP,07-02-20,0.280600623,0.277689398,0.287978632,0.268903065
XRP,08-02-20,0.278314987,0.280600443,0.287578653,0.27737064
XRP,09-02-20,0.278179043,0.278306779,0.282012639,0.263760274
XRP,10-02-20,0.2837412,0.277647946,0.289406087,0.276636886
XRP,11-02-20,0.272721402,0.283730147,0.284127609,0.267533205
XRP,12-02-20,0.281014198,0.273354859,0.284104989,0.267198525
XRP,13-02-20,0.306843618,0.281015789,0.30953797,0.280542344
XRP,14-02-20,0.327067547,0.306842478,0.339921869,0.300529076
XRP,15-02-20,0.336337403,0.327255678,0.339474873,0.310801165
XRP,16-02-20,0.311656692,0.336252489,0.347243234,0.295432003
XRP,17-02-20,0.29058452,0.311625055,0.31902897,0.269490772
XRP,18-02-20,0.283091948,0.292801304,0.295188434,0.269417226
