Currency,Date,Close,Open,High,Low
LTC,11-06-20,46.64086594,46.02987674,47.13016781,45.6693118
LTC,12-06-20,43.15418707,46.64086708,46.94342447,42.09142815
LTC,13-06-20,44.65231155,43.15488994,45.35841662,42.80984444
LTC,14-06-20,45.08434309,44.64841991,45.2152071,44.30789968
LTC,15-06-20,44.14931842,45.08434318,45.12852275,43.54590406
LTC,16-06-20,43.82508507,44.14891159,44.14910448,41.75359006
LTC,17-06-20,43.79574889,43.82548373,44.18710426,43.40710452
LTC,18-06-20,44.02053088,43.79546017,44.99883213,43.01458666
LTC,19-06-20,43.51493316,44.02035653,44.16143469,42.86018889
LTC,20-06-20,42.79171688,43.51060673,43.66769288,42.62309473
LTC,21-06-20,43.5566332,42.78979713,43.81123692,42.2841849
LTC,22-06-20,42.95253072,43.55914145,43.79722233,42.8709239
LTC,23-06-20,44.33233673,42.95187199,44.63960425,42.91475192
LTC,24-06-20,44.07255698,44.33266322,44.4904638,43.90628896
LTC,25-06-20,42.68349847,44.07255698,44.64358075,42.11785593
LTC,26-06-20,42.35489055,42.68334731,42.97839122,41.67280188
LTC,27-06-20,43.17057525,42.3505574,43.5595733,41.34081797
LTC,28-06-20,41.19181799,43.17037579,43.17260596,39.22605525
LTC,29-06-20,41.25796786,41.1875374,42.01230216,40.48359041
LTC,30-06-20,41.91046757,41.26030944,42.2422627,40.59519169
LTC,01-07-20,41.25183514,41.91046419,42.02939795,40.75060185
LTC,02-07-20,41.81086747,41.19673316,42.03343117,40.99939185
LTC,03-07-20,40.95772022,41.80825116,41.91343567,40.35817533
LTC,04-07-20,41.26070166,41.0832508,41.71357145,40.94785231
LTC,05-07-20,42.02226459,41.17745355,42.19599631,41.1087256
LTC,06-07-20,41.44308849,42.12845788,42.21422118,40.78643345
LTC,07-07-20,43.71582244,41.61717601,44.11762645,41.53746823
LTC,08-07-20,43.26314285,44.06457007,44.45681496,43.11680089
LTC,09-07-20,45.56154003,43.41221834,45.58319507,43.13566272
LTC,10-07-20,44.34841536,45.37315165,45.88337907,43.62963803
LTC,11-07-20,44.17846869,44.36571422,44.59420522,43.50243318
